Order,Day-Order,Time-Order,Day-Ops,Service,Type,Origin,X,Y,Early,Latest,Demand,Service Time 
,,,,,0,1,50,100,,,,0
,,,,,1,1,27,36,,,,15
,,,,,1,1,60,24,,,,15
,,,,,0,2,50,100,,,,0
,,,,,1,2,53,67,,,,15
,,,,,1,2,22,33,,,,15
1,1,0,1,1,3,2,66,23,60,180,4,5
2,1,0,1,1,3,1,18,36,60,180,3,5
3,1,0,1,1,3,2,91,25,60,180,4,5
4,1,0,1,1,3,2,78,2,60,180,3,5
5,1,0,1,1,3,2,77,35,60,180,3,5
6,1,0,1,1,3,2,26,98,60,180,4,5
7,1,0,1,1,3,2,0,53,60,180,2,5
8,1,0,1,1,3,2,23,55,60,180,2,5
9,1,0,1,1,3,1,8,96,60,180,1,5
10,1,0,1,1,3,1,95,71,60,180,1,5
11,1,0,1,1,3,2,64,43,60,180,3,5
12,1,0,1,1,3,2,3,18,60,180,1,5
13,1,0,1,1,3,2,76,47,60,180,2,5
14,1,0,1,1,3,1,99,48,60,180,1,5
15,1,0,1,1,3,1,48,93,60,180,3,5
16,1,0,1,1,3,2,37,38,60,180,3,5
17,1,0,1,1,3,2,46,21,60,180,2,5
18,1,0,1,1,3,2,41,100,60,180,3,5
19,1,0,1,1,3,2,25,66,60,180,1,5
20,1,0,1,1,3,2,41,61,60,180,1,5
21,1,0,1,1,3,1,13,98,60,180,2,5
22,1,0,1,1,3,1,20,72,60,180,1,5
23,1,0,1,1,3,2,89,82,60,180,3,5
24,1,0,1,1,3,2,39,62,60,180,2,5
25,1,0,1,1,3,2,16,60,60,180,4,5
26,1,0,1,1,3,2,41,62,60,180,3,5
27,1,0,1,1,3,2,13,22,60,180,2,5
28,1,0,1,1,3,1,29,20,60,180,2,5
29,1,0,1,1,3,1,96,0,60,180,2,5
30,1,0,1,1,3,2,84,19,60,180,4,5
31,1,0,1,1,3,1,35,57,60,180,1,5
32,1,0,1,1,3,1,48,100,60,180,4,5
33,1,0,1,1,3,2,12,26,60,180,4,5
34,1,0,1,1,3,2,96,31,60,180,2,5
35,1,0,1,1,3,1,74,81,60,180,4,5
36,1,0,1,1,3,1,69,54,60,180,1,5
37,1,0,1,1,3,2,70,11,60,180,2,5
38,1,0,1,1,3,2,53,28,60,180,3,5
39,1,0,1,1,3,2,94,92,60,180,2,5
40,1,0,1,1,3,2,26,87,60,180,3,5
41,1,0,1,1,3,1,67,94,60,180,4,5
42,1,0,1,1,3,1,38,98,60,180,4,5
43,1,0,1,1,3,1,52,84,60,180,2,5
44,1,0,1,1,3,1,19,43,60,180,2,5
45,1,0,1,1,3,1,94,53,60,180,4,5
46,1,0,1,1,3,1,79,34,60,180,4,5
47,1,0,1,1,3,1,11,100,60,180,1,5
48,1,0,1,1,3,2,38,81,60,180,4,5
49,1,0,1,1,3,2,5,100,60,180,2,5
50,1,0,1,1,3,2,4,13,60,180,1,5
51,1,0,1,1,3,2,50,9,60,180,3,5
52,1,0,1,1,3,2,63,21,60,180,1,5
53,1,0,1,1,3,2,45,5,60,180,1,5
54,1,0,1,1,3,1,29,87,60,180,4,5
55,1,0,1,1,3,2,90,39,60,180,1,5
56,1,0,1,1,3,1,48,66,60,180,4,5
57,1,0,1,1,3,2,15,11,60,180,2,5
58,1,0,1,1,3,2,89,80,60,180,4,5
59,1,0,1,1,3,2,85,33,60,180,3,5
60,1,0,1,1,3,1,31,38,60,180,1,5
61,1,0,1,1,3,2,25,78,60,180,3,5
62,1,0,1,2,3,1,70,54,0,300,2,5
63,1,0,1,1,3,2,88,75,60,180,1,5
64,1,0,1,1,3,1,70,78,60,180,4,5
65,1,0,1,1,3,1,67,59,60,180,1,5
66,1,0,1,1,3,1,85,55,60,180,3,5
67,1,0,1,1,3,1,40,73,60,180,2,5
68,1,0,1,1,3,1,68,92,60,180,1,5
69,1,0,1,1,3,1,90,46,60,180,4,5
70,1,0,1,1,3,1,2,85,60,180,3,5
71,1,0,1,1,3,2,73,54,60,180,4,5
72,1,0,1,1,3,1,24,23,60,180,4,5
73,1,0,1,1,3,1,64,3,60,180,4,5
74,1,0,1,1,3,2,2,81,60,180,2,5
75,1,0,1,1,3,1,30,3,60,180,3,5
76,1,0,1,1,3,2,53,8,60,180,1,5
77,1,0,1,1,3,1,2,31,60,180,1,5
78,1,0,1,1,3,1,71,21,60,180,1,5
79,1,0,1,1,3,2,79,72,60,180,3,5
80,1,0,1,1,3,2,84,61,60,180,4,5
81,1,0,1,1,3,2,42,6,60,180,1,5
82,1,0,1,1,3,2,83,54,60,180,3,5
83,1,0,1,1,3,1,24,3,60,180,4,5
84,1,0,1,1,3,1,54,72,60,180,3,5
85,1,0,1,1,3,2,75,16,60,180,4,5
86,1,0,1,1,3,2,72,7,60,180,3,5
87,1,0,1,1,3,2,76,88,60,180,2,5
88,1,0,1,1,3,1,90,47,60,180,4,5
89,1,0,1,1,3,2,27,99,60,180,2,5
90,1,0,1,1,3,2,64,64,60,180,1,5
91,1,0,1,1,3,2,66,21,60,180,1,5
92,1,0,1,1,3,1,40,81,60,180,3,5
93,1,0,1,1,3,1,20,29,60,180,1,5
94,1,0,1,1,3,1,16,96,60,180,3,5
95,1,0,1,1,3,2,17,19,60,180,3,5
96,1,0,1,1,3,2,76,37,60,180,3,5
97,1,0,1,1,3,2,64,37,60,180,4,5
98,1,0,1,1,3,1,76,40,60,180,3,5
99,1,0,1,1,3,1,10,10,60,180,2,5
100,1,0,1,1,3,1,50,93,60,180,3,5
101,1,0,1,1,3,2,33,95,60,180,2,5
102,1,0,1,1,3,2,50,90,60,180,3,5
103,1,0,1,1,3,1,58,76,60,180,3,5
104,1,0,1,1,3,1,46,75,60,180,3,5
105,1,0,1,1,3,2,39,14,60,180,4,5
106,1,0,1,1,3,1,1,43,60,180,4,5
107,1,0,1,1,3,2,64,15,60,180,3,5
108,1,0,1,2,3,2,36,91,60,180,3,5
109,1,0,1,1,3,1,26,71,60,180,2,5
110,1,0,1,1,3,1,91,98,60,180,3,5
111,1,0,1,1,3,1,61,23,60,180,3,5
112,1,0,1,1,3,2,19,9,60,180,3,5
113,1,0,1,1,3,1,21,89,60,180,3,5
114,1,0,1,1,3,2,40,76,60,180,4,5
115,1,0,1,1,3,2,32,22,60,180,3,5
116,1,0,1,1,3,2,21,16,60,180,3,5
117,1,0,1,1,3,2,41,15,60,180,4,5
118,1,0,1,1,3,1,59,6,60,180,3,5
119,1,0,1,1,3,2,87,75,60,180,2,5
120,1,330,2,1,3,2,19,4,60,180,2,5
121,1,380,2,1,3,1,60,94,60,180,3,5
122,1,313,2,1,3,1,99,43,60,180,1,5
123,1,30,2,1,3,1,66,46,60,180,2,5
124,1,395,2,1,3,1,79,3,180,300,4,5
125,1,477,2,1,3,2,28,53,180,300,2,5
126,1,35,2,1,3,1,25,26,0,300,2,5
127,1,232,2,1,3,1,50,88,0,300,3,5
128,1,225,2,1,3,2,77,66,60,180,3,5
129,1,416,2,1,3,2,83,51,0,300,3,5
130,1,216,2,1,3,1,58,96,180,300,1,5
131,1,288,2,1,3,1,76,97,0,300,4,5
132,1,233,2,1,3,1,55,67,60,180,1,5
133,1,110,2,1,3,2,75,47,60,180,4,5
134,1,284,2,1,3,1,85,70,0,300,1,5
135,1,301,2,1,3,2,59,66,180,300,2,5
136,1,374,2,1,3,2,100,0,180,300,4,5
137,1,368,2,1,3,2,89,37,60,180,1,5
138,1,572,2,1,3,1,16,11,0,300,3,5
139,1,521,2,1,3,1,84,14,0,300,1,5
140,1,443,2,1,3,1,29,20,0,300,4,5
141,1,384,2,1,3,2,43,7,0,300,4,5
142,1,487,2,1,3,2,51,58,180,300,4,5
143,1,344,2,1,3,2,93,25,0,300,4,5
144,1,363,2,1,3,1,47,69,60,180,1,5
145,1,123,2,1,3,2,99,25,180,300,1,5
146,1,550,2,1,3,1,34,70,0,300,1,5
147,1,249,2,1,3,1,37,94,60,180,3,5
148,1,6,2,1,3,1,55,53,180,300,3,5
149,1,277,2,1,3,2,92,67,60,180,1,5
150,1,356,2,1,3,2,26,21,60,180,2,5
151,1,578,2,1,3,1,20,8,60,180,4,5
152,8,531,9,1,3,2,70,18,0,300,4,5
153,12,539,13,1,3,2,95,85,180,300,3,5
154,6,456,8,1,3,2,13,77,180,300,1,5
155,12,78,13,1,3,2,99,12,0,300,2,5
156,11,363,12,1,3,2,57,84,180,300,3,5
157,5,456,7,1,3,1,22,97,180,300,3,5
158,13,585,14,1,3,2,54,67,180,300,4,5
159,3,363,3,2,3,2,5,38,420,540,2,5
160,11,564,12,1,3,1,21,67,0,300,2,5
161,13,482,14,1,3,1,3,60,0,300,2,5
162,4,448,6,1,3,1,48,58,60,180,4,5
163,9,297,10,1,3,1,9,59,180,300,2,5
164,3,65,4,1,3,1,51,35,0,300,4,5
165,11,593,12,1,3,1,39,32,60,180,2,5
